date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-06-05,NA,32,NA,NA,NA,23,NA,6,34,23,59,78,73,25,87
2020-06-06,NA,18,NA,NA,NA,12,NA,8,18,5,33,46,36,19,44
2020-06-07,NA,18,NA,NA,NA,NA,NA,6,24,16,35,48,32,17,39
2020-06-08,NA,45,NA,NA,NA,24,NA,5,50,40,84,133,113,40,143
2020-06-09,NA,39,NA,NA,NA,17,NA,7,44,40,79,107,91,37,105
2020-06-10,NA,42,NA,NA,NA,19,NA,8,48,27,65,106,91,43,112
2020-06-11,NA,32,NA,NA,NA,6,NA,5,34,25,52,74,67,27,103
2020-06-12,NA,32,NA,NA,NA,18,NA,8,35,27,58,88,83,26,88
2020-06-13,NA,14,NA,NA,NA,NA,NA,NA,17,13,30,40,25,19,43
2020-06-14,NA,23,NA,NA,NA,NA,NA,5,23,9,35,47,39,22,57
2020-06-15,NA,65,NA,NA,NA,19,NA,6,71,33,76,143,115,48,129
2020-06-16,NA,51,NA,NA,NA,16,NA,7,53,39,88,118,102,37,137
2020-06-17,NA,27,NA,NA,NA,14,NA,NA,30,22,60,79,89,28,105
2020-06-18,NA,29,NA,NA,NA,9,NA,9,35,27,73,92,92,34,111
2020-06-19,NA,27,NA,NA,NA,12,NA,NA,29,27,61,75,65,30,83
2020-06-20,NA,17,NA,NA,NA,10,NA,6,20,8,33,41,33,25,36
2020-06-21,NA,26,NA,NA,NA,10,NA,7,28,11,45,55,38,19,46
2020-06-22,NA,42,NA,NA,NA,20,NA,NA,47,35,70,114,93,38,111
2020-06-23,NA,52,NA,NA,NA,12,NA,6,55,28,74,106,93,30,117
2020-06-24,NA,46,NA,NA,NA,19,NA,8,53,39,72,105,97,33,97
2020-06-25,NA,37,5,NA,NA,20,NA,15,44,28,48,86,73,36,90
2020-06-26,NA,35,NA,NA,NA,10,NA,6,40,19,48,79,68,29,81
2020-06-27,NA,21,NA,NA,NA,14,NA,NA,22,11,34,40,35,12,39
2020-06-28,NA,21,NA,NA,NA,14,NA,NA,21,17,43,53,43,19,60
2020-06-29,NA,49,6,NA,NA,17,NA,12,53,30,68,121,96,42,122
2020-06-30,NA,49,5,NA,NA,14,NA,11,51,26,66,107,90,41,95
2020-07-01,NA,56,NA,NA,NA,22,NA,8,58,26,67,111,85,32,92
2020-07-02,NA,49,NA,NA,NA,18,NA,NA,51,32,59,108,88,40,110
2020-07-03,NA,33,NA,NA,NA,12,NA,9,35,24,55,82,72,35,96
2020-07-04,NA,20,NA,NA,NA,13,NA,5,21,8,41,45,38,12,37
2020-07-05,NA,23,NA,NA,NA,6,NA,7,23,15,40,49,36,19,45
2020-07-06,NA,55,NA,NA,NA,19,NA,5,63,39,80,122,106,50,126
2020-07-07,NA,50,NA,NA,NA,26,NA,7,54,30,62,112,99,34,110
2020-07-08,NA,30,NA,NA,NA,17,NA,NA,32,37,59,91,72,33,99
2020-07-09,NA,36,NA,NA,NA,18,NA,6,37,22,70,94,77,30,100
