date_day,visits
2022-04-08,172
2022-04-09,167
2022-04-10,164
2022-04-11,163
2022-04-12,163
2022-04-13,154
2022-04-14,147
2022-04-15,186
2022-04-16,180
2022-04-17,155
2022-04-18,166
2022-04-19,151
2022-04-20,150
2022-04-21,155
2022-04-22,155
2022-04-23,155
2022-04-24,138
2022-04-25,142
2022-04-26,150
2022-04-27,124
2022-04-28,137
2022-04-29,163
2022-04-30,152
2022-05-01,145
2022-05-02,162
2022-05-03,148
2022-05-04,138
2022-05-05,132
2022-05-06,148
2022-05-07,136
2022-05-08,122
2022-05-09,149
2022-05-10,139
2022-05-11,141
2022-05-12,164
2022-05-13,134
2022-05-14,160
2022-05-15,154
2022-05-16,164
2022-05-17,150
2022-05-18,138
2022-05-19,156
2022-05-20,164
2022-05-21,138
2022-05-22,133
2022-05-23,178
2022-05-24,138
2022-05-25,129
2022-05-26,150
2022-05-27,164
2022-05-28,133
2022-05-29,122
2022-05-30,179
2022-05-31,150
2022-06-01,131
2022-06-02,149
2022-06-03,168
2022-06-04,161
2022-06-05,139
2022-06-06,153
2022-06-07,150
2022-06-08,152
2022-06-09,166
2022-06-10,169
2022-06-11,146
2022-06-12,150
2022-06-13,171
2022-06-14,157
2022-06-15,155
2022-06-16,166
2022-06-17,159
2022-06-18,165
2022-06-19,154
2022-06-20,175
2022-06-21,147
2022-06-22,168
2022-06-23,172
2022-06-24,187
2022-06-25,176
2022-06-26,146
2022-06-27,192
2022-06-28,148
2022-06-29,183
2022-06-30,190
2022-07-01,181
2022-07-02,164
2022-07-03,165
2022-07-04,212
2022-07-05,195
2022-07-06,195
2022-07-07,165
2022-07-08,192
2022-07-09,189
2022-07-10,144
2022-07-11,227
2022-07-12,156
2022-07-13,169
2022-07-14,171
2022-07-15,179
2022-07-16,157
2022-07-17,156
2022-07-18,207
2022-07-19,185
2022-07-20,205
2022-07-21,176
2022-07-22,193
2022-07-23,158
2022-07-24,131
2022-07-25,188
2022-07-26,187
2022-07-27,182
2022-07-28,185
2022-07-29,163
2022-07-30,163
2022-07-31,159
2022-08-01,167
2022-08-02,162
2022-08-03,163
2022-08-04,153
2022-08-05,143
2022-08-06,168
2022-08-07,151
2022-08-08,170
2022-08-09,139
2022-08-10,160
2022-08-11,150
2022-08-12,165
2022-08-13,156
2022-08-14,147
2022-08-15,179
2022-08-16,167
2022-08-17,156
2022-08-18,148
2022-08-19,142
2022-08-20,156
2022-08-21,139
2022-08-22,187
2022-08-23,120
2022-08-24,169
2022-08-25,146
2022-08-26,158
2022-08-27,175
2022-08-28,140
2022-08-29,187
2022-08-30,157
2022-08-31,151
2022-09-01,141
2022-09-02,141
2022-09-03,155
2022-09-04,134
2022-09-05,174
2022-09-06,143
2022-09-07,142
2022-09-08,134
2022-09-09,152
2022-09-10,141
2022-09-11,119
2022-09-12,163
2022-09-13,133
2022-09-14,141
2022-09-15,139
2022-09-16,145
2022-09-17,125
2022-09-18,120
2022-09-19,150
2022-09-20,150
2022-09-21,157
2022-09-22,146
2022-09-23,179
2022-09-24,160
2022-09-25,124
2022-09-26,165
2022-09-27,134
2022-09-28,149
2022-09-29,145
2022-09-30,146
2022-10-01,168
2022-10-02,118
2022-10-03,167
