number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,010,base,014,14,7,28,002,008,24.34532706942527,34.38093967440433,001,2,32,16,relu,relu,adam,0.005,mse,50
001,010,base,015,14,7,35,002,008,26.514742252169572,27.482074216427574,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,016,21,7,7,002,008,19.7057563091354,25.505036506459323,001,2,16,32,relu,relu,adam,0.005,mse,100
001,010,base,017,21,7,14,002,008,23.13538755071947,22.50474786101095,001,2,16,16,relu,relu,adam,0.002,mse,100
001,010,base,018,21,7,21,002,008,24.4585809978247,24.926537569020468,001,2,16,8,relu,relu,adam,0.005,mse,100
001,010,base,019,21,7,28,002,008,27.380621564578355,26.38927010347245,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,020,21,7,35,002,008,27.602700941876975,29.31929782054861,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,021,28,7,7,002,008,26.75679026664849,20.340957052737863,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,022,28,7,14,002,008,27.04431377652983,21.299170594528043,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,023,28,7,21,002,008,27.579259309386675,21.537046002449788,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,024,28,7,28,002,008,28.150485457995863,19.803560846833577,001,2,16,16,relu,relu,adam,5e-4,mse,10
001,010,base,025,28,7,35,002,008,27.58724371909194,21.227476095175064,001,1,16,0,relu,none,adam,0.002,mse,10
001,010,base,001,0,7,7,002,009,22.000174529371172,14.217675830050043,001,2,64,16,relu,relu,adam,5e-4,mse,100
001,010,base,002,0,7,14,002,009,25.63944940436191,23.267169627002737,001,2,64,8,relu,relu,adam,5e-4,mse,50
001,010,base,003,0,7,21,002,009,23.67278143922708,25.50793776634138,001,2,16,8,relu,relu,adam,0.001,mse,100
001,010,base,004,0,7,28,002,009,103.27105838015812,23.953535635321902,001,1,16,0,relu,none,adam,0.002,mse,100
001,010,base,005,0,7,35,002,009,1129.1191974013864,31.13146859219021,001,2,16,16,relu,relu,adam,0.001,mse,100
001,010,base,006,7,7,7,002,009,25.28830788674594,25.685367567387164,001,1,32,0,relu,none,adam,0.002,mse,100
001,010,base,007,7,7,14,002,009,21.030252178389564,27.605551429291893,001,2,16,8,relu,relu,adam,0.001,mse,10
001,010,base,008,7,7,21,002,009,82.74617130427208,27.34857568062478,001,1,64,0,relu,none,adam,0.001,mse,100
001,010,base,009,7,7,28,002,009,27.756576228246214,31.631049501913225,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,010,7,7,35,002,009,29.924581820978446,34.415550295695816,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,011,14,7,7,002,009,25.756498305268426,27.08820786916831,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,012,14,7,14,002,009,27.714376901544924,22.96657991521897,001,2,64,32,relu,relu,adam,5e-4,mse,100
001,010,base,013,14,7,21,002,009,26.048812930453547,27.483573687073466,001,2,64,32,relu,relu,adam,0.001,mse,100
001,010,base,014,14,7,28,002,009,34.9642044393523,33.22934182959809,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,015,14,7,35,002,009,123.41545428024072,30.742417533805444,001,2,16,32,relu,relu,adam,5e-4,mse,100
001,010,base,016,21,7,7,002,009,25.551548652320363,25.481951857773335,001,2,64,32,relu,relu,adam,5e-4,mse,100
