number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,006,base,010,7,7,35,002,007,001,9.611417209628847,88.2930557828446
001,006,base,010,7,7,35,002,008,001,10.46211130619282,42.14588559699028
001,006,base,010,7,7,35,002,009,001,13.59367647948953,21.682253059440693
001,006,base,010,7,7,35,002,010,001,14.115109542205142,30.371668158711184
001,006,base,010,7,7,35,002,011,001,14.664712074051513,10.268538698642178
001,006,base,010,7,7,35,002,012,001,14.50898061429225,9.246547579852372
001,006,base,011,14,7,7,002,001,001,2.3994176716115923,7.182840307196843
001,006,base,011,14,7,7,002,002,001,3.3902990257871655,60.941346671541154
001,006,base,011,14,7,7,002,003,001,15.267135701750194,36.58834953004328
001,006,base,011,14,7,7,002,004,001,16.01905173629954,15.04910718700552
001,006,base,011,14,7,7,002,005,001,15.564296337657773,13.939851115456413
001,006,base,011,14,7,7,002,006,001,15.076547624737183,20.23586775866685
001,006,base,011,14,7,7,002,007,001,15.321743301230818,70.67726193046134
001,006,base,011,14,7,7,002,008,001,16.84932008583617,71.83495839888002
001,006,base,011,14,7,7,002,009,001,20.534868700302034,23.146811227005895
001,006,base,011,14,7,7,002,010,001,20.67805415038844,23.73116900151963
001,006,base,011,14,7,7,002,011,001,20.394998388989638,6.718530849042063
001,006,base,011,14,7,7,002,012,001,19.994031239634964,10.613614366437757
001,006,base,012,14,7,14,002,001,001,2.5163510194778434e-13,176.31751020446066
001,006,base,012,14,7,14,002,002,001,1.6723273152533709,95.49047626972032
001,006,base,012,14,7,14,002,003,001,13.908315352907746,49.12338676155374
001,006,base,012,14,7,14,002,004,001,14.790398891624402,17.295510444855513
001,006,base,012,14,7,14,002,005,001,14.733278784847771,15.23312867249508
001,006,base,012,14,7,14,002,006,001,14.324588253919066,22.563057408491417
001,006,base,012,14,7,14,002,007,001,14.49095916540888,64.69767792865657
001,006,base,012,14,7,14,002,008,001,16.02052465386708,65.45773633634656
001,006,base,012,14,7,14,002,009,001,19.139928051484315,26.65841174688068
001,006,base,012,14,7,14,002,010,001,19.48270929998469,28.462764525022926
001,006,base,012,14,7,14,002,011,001,19.643047076344377,8.643476732389
001,006,base,012,14,7,14,002,012,001,19.3089895061378,10.413918249971
001,006,base,013,14,7,21,002,001,001,3.456843010595222e-14,25.167624726253692
001,006,base,013,14,7,21,002,002,001,0.5766125244592185,109.38710770258912
001,006,base,013,14,7,21,002,003,001,11.11532168965617,68.5202294000414
001,006,base,013,14,7,21,002,004,001,13.580973842152774,16.773798610149615
001,006,base,013,14,7,21,002,005,001,13.593512543745698,20.112310403582118
001,006,base,013,14,7,21,002,006,001,13.64619711023771,24.248257060307555
001,006,base,013,14,7,21,002,007,001,13.765623231276184,74.10063089551896
001,006,base,013,14,7,21,002,008,001,14.91263534584807,59.276791474704886
