number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,number_hyp_par_subgrid
001,001,base,002,001,0,7,7,002,006,001,45
001,001,base,002,001,0,7,7,002,006,001,46
001,001,base,002,001,0,7,7,002,006,001,47
001,001,base,002,001,0,7,7,002,006,001,48
001,001,base,002,001,0,7,7,002,006,001,49
001,001,base,002,001,0,7,7,002,006,001,50
001,001,base,002,001,0,7,7,002,007,001,1
001,001,base,002,001,0,7,7,002,007,001,2
001,001,base,002,001,0,7,7,002,007,001,3
001,001,base,002,001,0,7,7,002,007,001,4
001,001,base,002,001,0,7,7,002,007,001,5
001,001,base,002,001,0,7,7,002,007,001,6
001,001,base,002,001,0,7,7,002,007,001,7
001,001,base,002,001,0,7,7,002,007,001,8
001,001,base,002,001,0,7,7,002,007,001,9
001,001,base,002,001,0,7,7,002,007,001,10
