date_day,sars_cov2_rna,sars_cov2_rna_normalized
2022-08-05,6457018973271.318,398742797.504
2022-08-06,6187928046365.822,375341213.383
2022-08-07,5918837119460.326,351939629.262
2022-08-08,5649746192554.83,328538045.142
2022-08-09,5380655265649.333,305136461.021
2022-08-10,5111564338743.837,281734876.9
2022-08-11,4842473411838.341,258333292.779
2022-08-12,4573382484932.844,234931708.658
2022-08-13,4304291558027.3486,211530124.537
2022-08-14,4035200631121.8516,188128540.417
2022-08-15,3766109704216.3555,164726956.296
2022-08-16,3497018777310.8594,141325372.175
2022-08-17,3227927850405.3633,117923788.054
2022-08-18,2350602302547.9336,151427063.232
2022-08-19,2706465915205.1333,98484986.544
2022-08-20,4702704502405.435,172481368.143
2022-08-21,6213641522169.751,458165574.559
2022-08-22,6563646586065.088,462586974.844
2022-08-23,7379977311978.248,540935081.139
2022-08-24,3250031612078.173,233060710.798
2022-08-25,4918229722715.382,365830833.287
2022-08-26,5665541186477.965,319113506.054
2022-08-27,7010001943959.427,542024429.286
2022-08-28,4473582142898.551,348518396.923
2022-08-29,7488013078485.499,541236940.982
2022-08-30,12033172586170.283,416156755.531
2022-08-31,4340382763031.381,271206121.159
2022-09-01,3647377525395.8223,256767161.239
2022-09-02,5418058971396.384,220910828.158
2022-09-03,5426508454413.232,148127653.393
2022-09-04,8319783147596.699,593761286.5830001
2022-09-05,10930471246274.535,728941063.439
2022-09-06,12462069570955.648,787890849.779
2022-09-07,7353138345208.509,219916806.592
2022-09-08,5473533905097.371,176372169.398
2022-09-09,4585042185998.851,175302702.581
2022-09-10,4111358120606.97,247314612.645
2022-09-11,4541660562395.473,302615975.639
2022-09-12,6858389949750.056,447821740.108
2022-09-13,4706824337768.697,319496628.955
2022-09-14,2674755614322.475,81582248.958
2022-09-15,1191312706566.5056,24097105.598
2022-09-16,2194252547915.1416,118078488.29100001
2022-09-17,5833498371057.225,367904791.313
2022-09-18,6752140326304.988,422035147.591
2022-09-19,4623675610542.851,283070626.334
2022-09-20,5981646836998.523,378657139.773
2022-09-21,5662058540255.448,342967989.597
2022-09-22,5262496625428.7705,363406990.22400004
2022-09-23,9277966213211.076,569200381.179
2022-09-24,8432940574520.897,278673559.186
2022-09-25,7638354951433.094,192343748.777
2022-09-26,12940880130249.195,566167044.242
2022-09-27,9415879974531.54,490640403.029
2022-09-28,1132637573620.98,18747932.162
2022-09-29,1322987355382.8862,24357679.377
2022-09-30,5876333398268.028,271599805.799
2022-10-01,11275732911754.67,526952655.003
2022-10-02,12332185927964.428,485729486.31200004
2022-10-03,6483389315506.394,375935829.497
2022-10-04,9652508554601.615,609953147.21
2022-10-05,6371946506075.827,408327235.25
2022-10-06,10229796895022.822,646718731.51
2022-10-07,11340922312650.924,729085330.289
2022-10-08,14199446538613.371,763821761.087
2022-10-09,11256305455561.2,756777292.965
2022-10-10,14125001732079.377,904173712.206
2022-10-11,15248577804331.947,993457411.188
2022-10-12,7945864309081.385,517511027.03400004
2022-10-13,13132022915704.41,654408876.0500001
2022-10-14,9342457824494.422,564362560.378
2022-10-15,14190633247221.262,957791120.898
2022-10-16,14077907618603.906,993571008.441
2022-10-17,7255693397551.493,486665329.50200003
2022-10-18,8340470996405.3955,565954468.1010001
2022-10-19,1833907586343.398,123587006.29
2022-10-20,7103189696660.799,205934327.58900002
2022-10-21,12372471806978.2,288281648.888
2022-10-22,6657947360608.053,221872412.71
2022-10-23,15521108316172.557,465679817.467
2022-10-24,6914104589765.452,126400449.539
2022-10-25,10416663286193.027,400240654.968
2022-10-26,6367239112311.983,304536020.294
2022-10-27,6106492077487.055,354369317.403
2022-10-28,8510793836201.122,506534569.468
2022-10-29,5161867476113.054,314556214.26600003
2022-10-30,8651906427549.439,572140353.627
2022-10-31,12115558499300.166,714740044.794
2022-11-01,13241262325135.377,606924064.956
2022-11-02,3592082140538.855,204455696.997
2022-11-03,11729683386824.846,327105702.524
2022-11-04,6172912230745.613,174036827.391
2022-11-05,9320438153834.191,319171226.417
2022-11-06,7320293887288.508,379742381.454
2022-11-07,11773850194102.78,617336943.9020001
2022-11-08,11691418303572.54,616993947.099
2022-11-09,7252260381463.733,159253834.767
2022-11-10,9876564900551.951,467950578.061
2022-11-11,8454289934698.22,633992496.04
2022-11-12,13003586816863.002,713894417.615
2022-11-13,12429323550139.615,708869827.201
2022-11-14,14794791023974.88,867322723.882
2022-11-15,30862847819046.063,1045524842.273
2022-11-16,4582811801088.551,171396955.68400002
2022-11-17,11781052314725.123,295902253.346
2022-11-18,5572477228806.53,158439544.761
2022-11-19,7865738142170.708,345853147.87700003
2022-11-20,11857212198538.85,582320606.941
2022-11-21,15876165432386.775,597522221.768
2022-11-22,29460920380296.902,1513688556.764
2022-11-23,14431393481118.176,487020568.342
2022-11-24,10808694894165.72,592030174.408
2022-11-25,15237992371836.057,790065451.954
2022-11-26,15975363278380.072,921726475.789
2022-11-27,17975406939814.465,998079230.417
2022-11-28,11056027286114.832,500069079.837
2022-11-29,13668299740552.438,661614780.026
2022-11-30,7751306978812.784,407384610.228
2022-12-01,9864737511524.82,497415162.945
2022-12-02,9440490423748.797,452564258.09000003
2022-12-03,8522928109373.337,421197336.762
2022-12-04,12006148942369.3,498863545.202
2022-12-05,13288399235913.818,608081235.341
2022-12-06,14454985022394.242,683353898.8510001
2022-12-07,9160964521094.012,432009224.22900003
2022-12-08,3866944019793.779,180664549.607
2022-12-09,6728864073329.77,231439226.571
2022-12-10,9430016918930.34,321865551.196
2022-12-11,7851886439231.304,319897593.776
2022-12-12,9804105709026.805,415639550.154
2022-12-13,10636084169890.06,441184841.957
2022-12-14,2757080281822.796,69695398.818
2022-12-15,6076242089830.897,124108786.736
2022-12-16,5320619608263.018,117052460.85700001
2022-12-17,7548104406582.621,234224055.315
2022-12-18,13051843875036.385,439900366.533
2022-12-19,5825112986293.101,202824268.32500002
2022-12-20,6904996933531.299,207600400.87600002
2022-12-21,1544480881135.3708,37656488.629
2022-12-22,4384151851547.5063,131482481.15200001
2022-12-23,1149942591026.5398,20220904.026
2022-12-24,690895236750.7549,12376533.629
2022-12-25,2404034873522.607,63058306.409
2022-12-26,2494586727125.134,52555233.791
2022-12-27,3160440051499.617,89838825.763
2022-12-28,1104160050924.3008,39176839.729
2022-12-29,1492379837280.651,32908770.585
2022-12-30,767515432866.1177,17550831.97
2022-12-31,1712084884051.292,54441773.215
2023-01-01,1805472125152.2664,68905889.823
2023-01-02,1772504909850.13,52563829.953
2023-01-03,1498847016755.8623,48542507.911
2023-01-04,1022258149901.5004,32360182.017
2023-01-05,1359330140424.64,50772425.22
2023-01-06,1052930083434.567,42994286.788
2023-01-07,1357388808641.5708,59014338.883
2023-01-08,1688452846349.7852,35461268.668
2023-01-09,1287479048025.22,25137237.847
2023-01-10,2245388342338.709,63529547.939
2023-01-11,911460540207.7036,24204921.93
2023-01-12,1017369040080.8842,40091781.214
2023-01-13,639485709902.0597,21663528.91
2023-01-14,1834287813670.9775,79887104.816
2023-01-15,616372923873.4128,13957088.082
2023-01-16,1389037861694.4211,46898435.468
2023-01-17,1469706549984.3345,53257955.863
2023-01-18,1558966477656.5117,57197185.121
2023-01-19,1143642887825.4124,49407823.382
2023-01-20,407465636443.1648,18796274.400000002
2023-01-21,801504814971.6199,38995077.113
2023-01-22,2514315336325.9473,125917234.391
2023-01-23,964400433027.4392,47875319.352
2023-01-24,1895182700183.994,95197041.4
2023-01-25,1698412919451.4556,86439434.706
2023-01-26,1501643138718.9172,77681828.012
2023-01-27,1304873357986.379,68924221.318
2023-01-28,1204528959623.465,65896873.988
2023-01-29,1783981880136.7458,98606117.62900001
2023-01-30,1130904028625.7896,57511392.831
2023-01-31,2659634547321.649,137413306.50100002
2023-02-01,762120222233.323,38336027.275
2023-02-02,1632080173508.0964,84306016.50400001
2023-02-03,1706664428733.1592,92063028.845
2023-02-04,2903192646037.1553,158229379.00800002
2023-02-05,3464513308681.8936,164796333.00100002
2023-02-06,3231565037816.434,175752707.773
2023-02-07,3842611942161.0737,218603478.334
2023-02-08,3345002092557.9185,191755675.594
2023-02-09,2847392242954.7637,164907872.855
2023-02-10,2349782393351.6084,138060070.115
2023-02-11,4115991100439.1514,251266168.148
2023-02-12,5520728635541.902,340176759.846
2023-02-13,5677074047963.4375,331198532.639
2023-02-14,4834615084739.089,293754714.105
2023-02-15,3018569839498.9126,183233766.36
2023-02-16,1202524594258.7366,72712818.615
2023-02-17,2080576432425.3103,124183862.506
2023-02-18,2981273764052.369,184827883.698
2023-02-19,2509855916747.9473,159975518.946
2023-02-20,2854041260603.665,181162959.287
2023-02-21,3644475403685.679,236684985.30200002
2023-02-22,2418802508901.448,156328153.718
2023-02-23,1193129614117.2175,75971322.134
2023-02-24,3381012335849.545,166659059.292
2023-02-25,3600374533589.343,228508157.755
2023-02-26,4509171437811.129,292879412.69200003
2023-02-27,3448879169913.116,212841222.532
2023-02-28,4810878759069.02,302342807.885
2023-03-01,2958903128124.4946,186262942.65600002
2023-03-02,1106927497179.9695,70183077.427
2023-03-03,6467279652422.909,412243731.032
2023-03-04,9107860797263.34,599004327.344
2023-03-05,4748705606724.855,310860539.848
2023-03-06,4348809294188.693,276044769.213
2023-03-07,5144584571466.015,321777869.11800003
2023-03-08,5570163275148.731,221372040.18600002
2023-03-09,2991835719583.932,156027938.44
2023-03-10,3454576659857.8745,82546634.64400001
2023-03-11,5549457548192.198,137608052.673
2023-03-12,5334791799652.368,175706205.113
2023-03-13,8375435731120.817,248212539.819
2023-03-14,7436914143347.587,163355316.59600002
2023-03-15,3758692007945.229,146571985.959
2023-03-16,3791174440075.1904,209921065.342
2023-03-17,4031006167733.816,209544428.327
2023-03-18,5512929607510.497,309437000.871
2023-03-19,7072076183541.061,368586865.249
